graph,n,m,n',m',s',kernelTime,fvs,time
PathAntlerH_F=95_K=12_R=15_A=7_M=7_V1,764,1973,118,388,51,120244,87,122516
Antler_F=95_K=2_R=15_A=2_M=8_V2,779,879,0,0,19,5282,19,5286
AntlerH_F=75_K=9_R=35_A=6_M=9_V2,785,2384,225,1372,18,80177,93,98516
PathAntler_F=90_K=6_R=20_A=4_M=8_V1,788,1320,0,0,53,23456,53,23464
SingleTreeAntler_F=80_K=5_R=30_A=3_M=9_V1,795,1457,48,172,36,195362,55,195379
Antler_F=75_K=3_R=35_A=2_M=10_V1,800,1236,36,140,28,46653,45,46684
PathAntler_F=90_K=8_R=20_A=7_M=8_V2,804,1653,0,0,68,20885,68,20896
Antler_F=75_K=3_R=35_A=2_M=10_V2,805,1224,38,131,27,83193,43,83212
Antler_F=100_K=2_R=10_A=2_M=8_V1,824,897,0,0,17,5261,17,5264
SingleTreeAntler_F=75_K=4_R=35_A=4_M=10_V2,825,1468,47,187,36,90162,55,90184
AntlerH_F=90_K=2_R=20_A=2_M=9_V2,832,982,0,0,24,12897,24,12906
AntlerH_F=95_K=10_R=15_A=6_M=8_V2,849,2028,194,938,20,105256,82,174337
PathAntlerH_F=80_K=11_R=30_A=7_M=9_V2,849,2776,81,290,81,100163,108,100260
Antler_F=80_K=3_R=30_A=2_M=10_V1,854,1251,30,103,27,89156,41,89173
PathAntlerH_F=100_K=7_R=10_A=3_M=8_V1,866,1412,56,180,34,95161,55,95182
Antler_F=95_K=3_R=15_A=1_M=9_V1,889,1070,0,0,28,17694,28,17700
PathAntler_F=100_K=3_R=10_A=1_M=10_V2,1040,1228,30,77,17,67391,28,67399
